dataset,dataset_label,protected_attribute,model,joint_feasible_all_seeds,n_pairs,mean_accuracy_diff_protected_minus_target,sd_accuracy_diff,mean_accuracy_target_stratified,mean_accuracy_protected_aware,mean_cfs_diff_protected_minus_target,sd_cfs_diff,mean_cfs_target_stratified,mean_cfs_protected_aware,mean_abs_spd_diff_protected_minus_target,sd_abs_spd_diff,mean_abs_spd_target_stratified,mean_abs_spd_protected_aware,mean_abs_eod_diff_protected_minus_target,sd_abs_eod_diff,mean_abs_eod_target_stratified,mean_abs_eod_protected_aware,mean_abs_aod_diff_protected_minus_target,sd_abs_aod_diff,mean_abs_aod_target_stratified,mean_abs_aod_protected_aware
adult,Adult Income,sex,logistic_regression,True,30,0.000455499257894465,0.005908071156686836,0.8240493372229898,0.8245048364808844,0.002769874807115161,0.017796210346525974,0.13344471143100986,0.136214586238125,0.002009491222966112,0.013811695016779512,0.08619747571744792,0.08820696694041401,0.00734592127217382,0.03828452385058363,0.03473257684349984,0.04207849811567367,0.0026923678309488637,0.018381473618161816,0.018164150221069073,0.020856518052017933
adult,Adult Income,sex,random_forest,True,30,0.0012846102666461874,0.007385685040438427,0.8199293720251803,0.8212139822918265,0.009251948567678725,0.021064744967802005,0.13020564014957375,0.1394575887172525,0.005899918083511061,0.01552369796855516,0.08907228631508371,0.09497220439859477,0.01152590948052471,0.03742199725374323,0.038363151302613314,0.049889060783138026,0.004013179268183905,0.019562745947546242,0.020650940835814993,0.024664120103998894
adult,Adult Income,sex,gradient_boosting,True,30,0.0007472235017145223,0.006009601819331001,0.836982445365679,0.8377296688673935,0.005090388819917611,0.018483440031371583,0.1425071482697499,0.1475975370896675,0.00212875410189792,0.013571914399447,0.08963761376583745,0.0917663678677354,0.013506981238537242,0.03322801279727156,0.02627786212395844,0.039784843362495666,0.005600458044282093,0.016781993635962184,0.013650695733887669,0.019251153778169765
adult,Adult Income,sex,xgboost,True,30,0.0009724141460668393,0.004510285915860989,0.8429807052561542,0.8439531194022212,0.0025807823259224676,0.022343117431196883,0.1462147018252443,0.1487954841511668,0.0021704170422415484,0.012573129119291098,0.09943471054369464,0.10160512758593619,0.006668367596127726,0.04210750372886016,0.03380156848451533,0.040469936080643046,0.0027512402723928703,0.01954752538248033,0.017084684061660714,0.01983592433405358
adult,Adult Income,sex,mlp,True,30,-0.000854700854700848,0.007903463702525001,0.8264547827422078,0.8256000818875072,0.0044072771151119775,0.01828108914951554,0.13057924008404562,0.1349865171991576,0.0033326355817515432,0.014261975968061962,0.08915634094722193,0.09248897652897346,0.01579753702804066,0.02925741763983445,0.0248567950967995,0.040654332124840174,0.008129438048320095,0.014056901496255127,0.013359549997135102,0.0214889880454552
adult,Adult Income,race,logistic_regression,True,30,0.001463739188290088,0.005336408694148221,0.8403142433082554,0.8417779824965453,0.008771590563969669,0.026472813725613203,0.08652563812369515,0.09529722868766485,0.005518948251717495,0.018206031592509737,0.04377482918392648,0.049293777435643976,0.004959094595882357,0.04576881729531684,0.04611622788978238,0.05107532248566473,0.0021412438463638533,0.02378410918432681,0.024578954469312627,0.02672019831567648
adult,Adult Income,race,random_forest,True,30,0.0006039203643994018,0.005620877249024181,0.8369977992732486,0.8376017196376478,0.00851355846827351,0.01911652968587241,0.08664444501897002,0.09515800348724354,0.0033643647848562324,0.014017921431140166,0.0479300452607861,0.05129441004564232,0.00849106953688556,0.03136099864611513,0.04714911004381756,0.055640179580703115,0.004482575589762025,0.015622753915154101,0.023666260965577435,0.02814883655533946
adult,Adult Income,race,gradient_boosting,True,30,0.00037361175085724637,0.0074539619282233014,0.8540611085521264,0.8544347203029837,0.01136719754894386,0.026019013900949912,0.09706799071526159,0.10843518826420542,0.00446287106476832,0.01557029667243699,0.049199890701660316,0.05366276176642864,0.013107163896222379,0.04497932794003733,0.04410061811349401,0.057207782009716386,0.005114081934357113,0.022626851255480026,0.023308911571963038,0.028422993506320157
adult,Adult Income,race,xgboost,True,30,0.0020318337683606987,0.00655152654004185,0.8585598034699833,0.8605916372383438,0.004486874675876293,0.02179972948207576,0.0982465938580133,0.10273346853388964,0.004027817206126267,0.013572299735927931,0.052639120973695205,0.05666693817982146,-0.0013987443131695198,0.030432554436389186,0.048613136965893936,0.04721439265272441,-0.0014996448803486226,0.016290778125873633,0.025869304833244785,0.024369659952896163
adult,Adult Income,race,mlp,True,30,0.001136189160141269,0.006330783719031138,0.8412508316699936,0.8423870208301346,0.003457314602735735,0.021586494180360048,0.09266009606789113,0.09611741067062692,0.0022903179041696637,0.016380706238719615,0.04703303416623632,0.049323352070405974,0.004224551009729816,0.041290500014403694,0.051047761417880706,0.055272312427610513,0.0029441712202672573,0.019797737961613972,0.025450600730377932,0.02839477195064519
adult,Adult Income,age_group,logistic_regression,True,30,0.00031731408976917546,0.0030417720834980803,0.8285787399559853,0.8288960540457548,0.0027358322529350888,0.018107267961769223,0.15947803711316164,0.16221386936609672,0.0010301813795916413,0.011179764641081055,0.11686314824059475,0.11789332962018637,0.0032805530168134958,0.033025077086034284,0.037266638070843044,0.04054719108765654,0.0034887330325790306,0.017798257383166722,0.017432585951146114,0.020921318983725144
adult,Adult Income,age_group,random_forest,True,30,0.001172014944470031,0.004449708115219198,0.82200214954706,0.8231741644915299,0.002232832989416562,0.016275416862262342,0.15284724646619663,0.1550800794556132,0.0006257696386500283,0.011385712562284989,0.11774920503325578,0.11837497467190583,0.0020986214408974893,0.0326364927214426,0.036600460226989213,0.0386990816678867,0.0005741124761543373,0.018297426393855443,0.019128237691006078,0.019702350167160414
adult,Adult Income,age_group,gradient_boosting,True,30,-0.0002968422130098736,0.0043520777031610235,0.843344081068632,0.8430472388556218,0.006559715324336612,0.016323757653382138,0.1713338136598296,0.17789352898416627,0.0015902485539322408,0.011308909918654174,0.1191036413544318,0.12069388990836404,0.008737740186087344,0.036007220331935895,0.0387117403880388,0.047449480574126145,0.00537295843942045,0.017786381667664924,0.019883953226588487,0.025256911666008946
adult,Adult Income,age_group,xgboost,True,30,5.1179691898251e-05,0.0046319254326095665,0.8464916321203747,0.846542811812273,0.0006109088413146512,0.021211001401395375,0.17321037542517279,0.17382128426648744,0.0002726335257019652,0.012710175768070453,0.1278882853733864,0.12816091889908834,-9.770159416551867e-05,0.039444260215610046,0.03887650741933445,0.03877880582516892,0.0003569262249173128,0.020090413795332107,0.020285545776265172,0.020642472001182483
adult,Adult Income,age_group,mlp,True,30,-0.000337785966528481,0.006486398572328446,0.8284661446338093,0.8281283586672807,-0.00023080390641132866,0.019599006603137743,0.1581990744399818,0.15796827053357043,0.0028563317021495687,0.013182052946038438,0.11550160670118284,0.1183579384033324,-0.004667526441035527,0.03733325737433217,0.03748380371490908,0.03281627727387355,-0.001347840670931302,0.019089939118623188,0.018563569884476383,0.017215729213545087
bank_uci,UCI Bank Marketing,age_group,logistic_regression,True,30,-0.0012462571821639568,0.00428402782239942,0.8886016023306629,0.8873553451484988,-0.0118770394848915,0.040525954775283965,0.1124209807471425,0.10054394126225098,-0.0012784005654248383,0.006190747570896028,0.016614641897880728,0.01533624133245589,0.002315873974769626,0.021879711583576638,0.025365230401951044,0.027681104376720674,0.001231831833163658,0.010228957535384532,0.012175121012570527,0.013406952845734186
bank_uci,UCI Bank Marketing,age_group,random_forest,True,30,0.0006595451970543046,0.008465497137648744,0.866274176580076,0.8669337217771302,-0.0033916301099966855,0.032136224174302785,0.08364719791677419,0.0802555678067775,-7.274438591375331e-05,0.008645252707047735,0.021181421216698193,0.021108676830784434,-0.008664608834165454,0.027434814259240707,0.035928623336362306,0.02726401450219685,-0.004242124801767001,0.012452547189996669,0.01777207472911641,0.013529949927349409
bank_uci,UCI Bank Marketing,age_group,gradient_boosting,True,30,-0.00042486040301043714,0.004140582156059861,0.8888160556769442,0.888391195273934,-0.0074979668698940865,0.039804829645187154,0.11721400875713643,0.10971604188724232,-0.0006580271533744777,0.006754239047577075,0.018659578985197857,0.018001551831823382,-0.0035649820852321507,0.02422342448821432,0.031147092142938364,0.027582110057706218,-0.001665412057396537,0.011926757068382778,0.015215678602519192,0.013550266545122655
bank_uci,UCI Bank Marketing,age_group,xgboost,True,30,-0.0003803512179331614,0.00611943584322884,0.8837379622885811,0.8833576110706483,-0.0030916433619962084,0.043293995840385506,0.10510048018088401,0.10200883681888778,-0.0005501536027562313,0.008577362093179044,0.0200273588633822,0.01947720526062597,0.006605509395418079,0.022057138302649854,0.024494905792260258,0.031100415187678334,0.0036934911950080545,0.011805273018979181,0.012460332762397322,0.01615382395740538
bank_uci,UCI Bank Marketing,age_group,mlp,True,30,0.00026705511046368755,0.0049864115778310136,0.8867807720320465,0.8870478271425103,-0.0052899075423198565,0.04320014719731355,0.1109107246430776,0.10562081710075774,-0.0016923286029198418,0.00828491655099805,0.018356870456966694,0.016664541854046852,-0.00240694996658727,0.03126830338687962,0.02813553155991862,0.025728581593331357,-0.0008150967104298028,0.01517992771237952,0.014148113054278441,0.013333016343848642
bank_uci,UCI Bank Marketing,job_group,logistic_regression,True,30,0.00027110140001618634,0.00205476980525577,0.8977543092983733,0.8980254106983895,0.005429869523599049,0.02969306958152051,0.03315110168754876,0.03858097121114782,0.001064208412408513,0.003944238745493559,0.0035615511332757867,0.004625759545684299,-0.0017955708488756523,0.025977542105447397,0.02548437768258703,0.02368880683371138,-0.0005828795977485511,0.013255399069540569,0.012614343224488189,0.01203146362673964
bank_uci,UCI Bank Marketing,job_group,random_forest,True,30,0.0005179250627174911,0.0033700482007347154,0.8828113619810636,0.8833292870437808,0.0013036623954245702,0.025157011768808555,0.02783010838230156,0.02913377077772612,0.0003167953148345006,0.005396026605448291,0.004862877287499763,0.005179672602334263,0.0004320010566295209,0.031634488680821575,0.027069635693160846,0.02750163674979037,0.0006218251798522075,0.01614138815744163,0.012826714537220073,0.013448539717072284
bank_uci,UCI Bank Marketing,job_group,gradient_boosting,True,30,0.00019826818807154866,0.0015035185454489494,0.899898842761188,0.9000971109492595,0.010575953562769832,0.029601471926846496,0.030092484799226847,0.04066843836199667,0.0018099805227617589,0.004103505733891816,0.003358007931359132,0.00516798845412089,0.001322226699169815,0.025404900369571052,0.026629267095962292,0.027951493795132103,0.0011572810646222514,0.012235199534155245,0.013105111559116402,0.014262392623738653
bank_uci,UCI Bank Marketing,job_group,xgboost,True,30,0.0006069434328720573,0.0026635020186224884,0.8974346524237276,0.8980415958565994,0.009790123204862312,0.02749655208486119,0.03279221128454772,0.04258233448941005,0.001361676488842985,0.0048197298664382935,0.0045689528982618315,0.005930629387104816,0.006625111592969954,0.02674917472882413,0.02517475580657811,0.031799867399548064,0.003285622556817233,0.013599841042163769,0.012711488791651699,0.015997111348468932
bank_uci,UCI Bank Marketing,job_group,mlp,True,30,0.0002872865582260964,0.0027610087667361565,0.8974265598446224,0.8977138464028486,0.012159858493440544,0.026850125759620175,0.029848809930026955,0.042008668423467496,0.0017001322413553155,0.0036240464885468654,0.003534113018281718,0.0052342452596370334,0.0026859270881426276,0.02566192415882883,0.024553379974584066,0.0272393070627267,0.0016907856974616364,0.012612389331367308,0.012276927469722856,0.013967713167184492
acs_income_ca_2018,ACSIncome CA 2018,sex,logistic_regression,True,30,0.0009266666666666682,0.0027767424890642357,0.7619866666666666,0.7629133333333332,-0.0005671549205260621,0.00723906193367895,0.054286354595840684,0.05371919967531462,-0.001405001746646493,0.007769364116548401,0.058781250398441384,0.057376248651794894,0.00015018607288423967,0.01234479910158209,0.012821618382758264,0.012971804455642503,0.0019754872091616326,0.0063295534031894175,0.008171735621065636,0.010147222830227268
acs_income_ca_2018,ACSIncome CA 2018,sex,random_forest,True,30,-0.0004933333333333197,0.0038934014322496635,0.7787733333333334,0.7782800000000001,0.0012773055601365743,0.008225810023303718,0.05819116950868751,0.05946847506882407,0.002138117529018437,0.008140729959395824,0.06384704916481357,0.065985166693832,-0.00030996814681327013,0.013645502226570082,0.013221554029177162,0.012911585882363892,-0.0008733202179487415,0.005430109156873332,0.008293192218400204,0.007419872000451462
acs_income_ca_2018,ACSIncome CA 2018,sex,gradient_boosting,True,30,-0.0002066666666666624,0.00213847082544149,0.7995133333333333,0.7993066666666666,0.00032289845807410915,0.008523200056389742,0.06254122911739503,0.06286412757546915,-0.000727586121999398,0.007382277246832941,0.07038595418751346,0.06965836806551406,0.002370534968138212,0.01224601924659744,0.010184677106294856,0.012555212074433069,0.0009972600116046222,0.006996829383530595,0.00718670419446673,0.008183964206071351
acs_income_ca_2018,ACSIncome CA 2018,sex,xgboost,True,30,0.00013999999999999568,0.004181453302876642,0.8086566666666666,0.8087966666666666,0.0007018014171206138,0.009012043155385093,0.06413197197448728,0.06483377339160785,0.001315410607931903,0.010070170245358006,0.0724519123022859,0.07376732291021781,0.00010250108881426264,0.012228616233865003,0.0111232806737298,0.011225781762544063,-0.0009711228433848727,0.008980174434795887,0.009367446130170575,0.008396323286785705
acs_income_ca_2018,ACSIncome CA 2018,sex,mlp,True,30,-0.0004333333333333337,0.0038768395707678275,0.7836499999999998,0.7832166666666667,0.002147027927500807,0.006990835851400593,0.057105068467373926,0.05925209639487472,0.00032934933496109504,0.008127090909047122,0.0647646899015711,0.06509403923653219,0.0044575855170692295,0.012173608654247629,0.009029888067121199,0.013487473584190427,0.002205729447535844,0.007159465128473444,0.006341474044606572,0.008547203492142415
acs_income_ca_2018,ACSIncome CA 2018,age_group,logistic_regression,True,30,-0.00014999999999998348,0.004003769775323387,0.7337500000000001,0.7336000000000003,-0.0002050022846949574,0.009373160493369087,0.08146055693593474,0.08125555465123975,-0.0010094613309562536,0.009998180474732584,0.08875157857431283,0.08774211724335657,0.0014436781132644756,0.01241692373948671,0.014114756631162162,0.015558434744426638,0.0019488210036648908,0.007542791849714265,0.007596382824097894,0.009545203827762784
acs_income_ca_2018,ACSIncome CA 2018,age_group,random_forest,True,30,0.0008466666666666549,0.00564848062166573,0.75396,0.7548066666666668,-0.0008784695058031473,0.013128661465673382,0.08896848614331952,0.08809001663751641,0.00042417200248458334,0.013199876250472972,0.10104588557387996,0.10147005757636454,-0.002221012307383415,0.015509061136795212,0.01711129120609618,0.014890278898712766,-0.002931200420498026,0.0104708476534565,0.010826878542851033,0.007895678122353008
acs_income_ca_2018,ACSIncome CA 2018,age_group,gradient_boosting,True,30,-0.0003866666666666759,0.0037759432101710467,0.77057,0.7701833333333334,-0.0019272375373748291,0.00893561207820613,0.09417101419624402,0.09224377665886914,-0.002090412131701367,0.010224528346790192,0.10638222740504658,0.10429181527334519,-0.0006823425900367478,0.016115900601573457,0.015362158965767658,0.01467981637573091,-0.0003044757539617212,0.0068980889323330625,0.00846148225444293,0.00815700650048121
acs_income_ca_2018,ACSIncome CA 2018,age_group,xgboost,True,30,3.333333333333706e-05,0.004561482920803454,0.7802466666666666,0.78028,-0.0022872156591798145,0.012296988814552452,0.09923097626871866,0.09694376060953885,-0.000879907844010334,0.011070595555306335,0.11208231378087494,0.11120240593686462,-0.003679010315428144,0.016542599492903334,0.01929467231976143,0.015615662004333286,-0.0015639992826343662,0.009338488481277411,0.011491931636632828,0.009927932353998463
acs_income_ca_2018,ACSIncome CA 2018,age_group,mlp,True,30,0.0004566666666666682,0.005771612057919898,0.7555133333333335,0.75597,0.00011695526312405224,0.008783854353330718,0.08919062322521723,0.08930757848834127,-0.0012498339825798492,0.011573630063080233,0.1007939858734905,0.09954415189091063,0.00011892604083401463,0.014527066105458038,0.017815660698912533,0.017934586739746548,0.0002769412783350101,0.00805977513806172,0.009380561317169373,0.00965750259550438
