dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status
adult,logistic_regression,baseline,42,0.8475356978350991,[0.2507389],0.1719635925122615,0.07103051747014588,0.07386408083245846,0.06462497707683845,0.1719635925122615,0.07103051747014588,0.19517131866165682,0.16643304568750272,0.07736586235855686,4,414,0.18012659999999991,success
adult,logistic_regression,baseline,43,0.8515277138031629,[0.23031651],0.15730082149751684,0.055893279297534626,0.06076643164118348,0.034684390208469584,0.15730082149751684,0.055893279297534626,0.19301113976411452,0.19577092511013217,0.0831139003334307,4,395,0.12959480000000045,success
adult,logistic_regression,baseline,44,0.8518347919545525,[0.28854713],0.18458882382695618,0.14561550982114468,0.09574642993182472,0.028819444444444398,0.18458882382695618,0.14561550982114468,0.24126082654485817,0.1999064765022212,0.09680362962731573,4,418,0.16655689999999979,success
adult,logistic_regression,baseline,45,0.8464609243052357,[0.26035484],0.17485207284353613,0.09900821398145021,0.09300101607793916,0.13597851423938379,0.17485207284353613,0.13597851423938379,0.21678443984759946,0.26405379846590316,0.0775555622087163,4,412,0.13133499999999998,success
adult,logistic_regression,baseline,46,0.8499923230462153,[0.2718281],0.1781604583556533,0.10878357887344176,0.10504620855504573,0.05121527777777779,0.1781604583556533,0.10878357887344176,0.226126100196294,0.11400075404521937,0.09079195511356315,4,455,0.1694488999999999,success
adult,logistic_regression,baseline,47,0.8476892369107938,[0.25077556],0.1717816918348256,0.06556968337073044,0.0840623937132753,0.02570965766548794,0.1717816918348256,0.06556968337073044,0.2138887410431254,0.12353741496598636,0.09003771228453444,4,421,0.13409329999999997,success
adult,logistic_regression,baseline,48,0.8527560264087211,[0.27265372],0.17722156410726234,0.12761408754078857,0.07000890774856555,0.003766328281459952,0.17722156410726234,0.12761408754078857,0.20675607880738403,0.19878296146044627,0.06811885389107972,4,397,0.16382589999999997,success
adult,logistic_regression,baseline,49,0.8446184553968985,[0.21166414],0.14098422450434822,0.042901371074745676,0.08883761250350579,0.12445865360633063,0.14098422450434822,0.12445865360633063,0.20699044909571226,0.3208469055374593,0.06954990291011606,4,399,0.13467450000000003,success
adult,logistic_regression,baseline,50,0.8484569322892677,[0.26201103],0.17395010955543658,0.10088653360408106,0.07146646249962624,0.0201005025125629,0.17395010955543658,0.10088653360408106,0.20819190192870696,0.2222222222222222,0.085993651291296,4,435,0.18869710000000062,success
adult,logistic_regression,baseline,51,0.855980346998311,[0.26510238],0.18096354042119023,0.09241335622718261,0.09099046726648628,0.03220245736291949,0.18096354042119023,0.09241335622718261,0.22172432647380452,0.10279146541770334,0.08367574045540148,4,420,0.14121089999999992,success
adult,logistic_regression,baseline,52,0.8512206356517734,[0.27618523],0.17704418965105345,0.12441013358424935,0.07823465064137712,0.06715588467667422,0.17704418965105345,0.12441013358424935,0.21501263926598635,0.20316169828364955,0.07461075702808681,4,440,0.17246130000000015,success
adult,logistic_regression,baseline,53,0.8527560264087211,[0.27557803],0.17351761720386105,0.13013877978528415,0.10598474143071616,0.08166283273085773,0.17351761720386105,0.13013877978528415,0.21546681944998008,0.19441034347655733,0.07965367965367964,4,416,0.15947669999999992,success
adult,logistic_regression,baseline,54,0.8519883310302472,[0.27042195],0.1647374507128502,0.13436541414040337,0.07925122136086167,0.00023457658925640779,0.1647374507128502,0.13436541414040337,0.19215210076087283,0.14885526930575027,0.07256506943805757,4,452,0.1459362000000004,success
adult,logistic_regression,baseline,55,0.8526024873330262,[0.20959397],0.1477199133662281,0.02650525181008989,0.08486401037384615,0.07570639936079038,0.1477199133662281,0.07570639936079038,0.1812160945824312,0.12221231043710973,0.07082235879426398,4,440,0.15522629999999982,success
adult,logistic_regression,baseline,56,0.8412405957316137,[0.25369333],0.16844109456207845,0.09001512859304084,0.06275275546136375,0.011187927445733048,0.16844109456207845,0.09001512859304084,0.20686498692824426,0.10916179337231974,0.08870835672842972,4,438,0.16506930000000075,success
adult,logistic_regression,baseline,57,0.8498387839705205,[0.24536894],0.1754821233778668,0.04640498451071673,0.09360277547081082,0.04123665807876342,0.1754821233778668,0.04640498451071673,0.20786260566214948,0.10610169491525423,0.08293428805847691,4,435,0.16103419999999957,success
adult,logistic_regression,baseline,58,0.8473821587594043,[0.26567935],0.16942789817801374,0.10751547303271441,0.07057583799069866,0.05999999999999994,0.16942789817801374,0.10751547303271441,0.1925751087307748,0.12853192939928798,0.07256823281989826,4,417,0.12639779999999945,success
adult,logistic_regression,baseline,59,0.8403193612774451,[0.25903481],0.17228158000126467,0.0763419296106313,0.07901209620835789,0.0297743596849811,0.17228158000126467,0.0763419296106313,0.21754595924337622,0.23015873015873017,0.08944760243107497,4,444,0.12364050000000049,success
adult,logistic_regression,baseline,60,0.8498387839705205,[0.25695859],0.1736141653815534,0.07408498092617222,0.07451182947416161,0.0625657227516393,0.1736141653815534,0.07408498092617222,0.20615134802643925,0.1311465858774178,0.07846058986743397,4,398,0.14113889999999962,success
adult,logistic_regression,baseline,61,0.8490710885920467,[0.2364453],0.16526093475858122,0.039479638009049745,0.057320180435095236,0.02531721063382486,0.16526093475858122,0.039479638009049745,0.1799839128327933,0.07396825396825402,0.0645864548222486,4,423,0.15401660000000028,success
adult,logistic_regression,baseline,62,0.8409335175802242,[0.24449316],0.17139852182208992,0.05932323984446097,0.09143280428000272,0.12556818181818175,0.17139852182208992,0.12556818181818175,0.20874847997489504,0.20063297448165873,0.08422698404060977,4,424,0.1732769999999988,success
adult,logistic_regression,baseline,63,0.849531705819131,[0.27984877],0.17708865400864063,0.12259606051102845,0.04564904723934152,0.04847746258511609,0.17708865400864063,0.12259606051102845,0.18681053032771805,0.1799522829035527,0.08525032986812997,4,419,0.1628588999999998,success
adult,logistic_regression,baseline,64,0.8532166436358053,[0.22896355],0.1598742578116045,0.04530397771102379,0.07998156729500974,0.09508932579226137,0.1598742578116045,0.09508932579226137,0.20411347249056083,0.12453239360260226,0.07604187398001831,4,419,0.1784978000000006,success
adult,logistic_regression,baseline,65,0.8472286196837095,[0.23617425],0.15583142037857178,0.07201180215855274,0.09524663754787772,0.08607196106563147,0.15583142037857178,0.08607196106563147,0.20630532721618852,0.13859180035650626,0.06983801109451354,4,426,0.19411540000000116,success
adult,logistic_regression,baseline,66,0.8524489482573315,[0.2384555],0.15888694039198548,0.0601873780178509,0.07933626202856973,0.010959845125835255,0.15888694039198548,0.0601873780178509,0.20868971017427074,0.2069805194805195,0.07089768048134112,4,421,0.16264890000000065,success
adult,logistic_regression,baseline,67,0.8478427759864886,[0.23465888],0.1583627874164117,0.06249018067556955,0.08028850571192307,0.09196055336150954,0.1583627874164117,0.09196055336150954,0.2079990132524268,0.23570957095709577,0.07141434518281008,4,406,0.15906669999999856,success
adult,logistic_regression,baseline,68,0.8483033932135728,[0.23724682],0.16384400341315258,0.04943502824858759,0.07503175467247325,0.03896335774959714,0.16384400341315258,0.04943502824858759,0.2092364360922076,0.12189247056024743,0.08253081530273343,4,443,0.16606710000000113,success
adult,logistic_regression,baseline,69,0.8502994011976048,[0.23750586],0.15777413580820837,0.07511561522256704,0.08416306776962515,0.04825373507373232,0.15777413580820837,0.07511561522256704,0.19391873102816537,0.08058252427184465,0.07209636619902364,4,446,0.17619520000000044,success
adult,logistic_regression,baseline,70,0.8461538461538461,[0.30823243],0.18752481971534302,0.18078897770845526,0.09853081665606685,0.07489050858962132,0.18752481971534302,0.18078897770845526,0.22478530886038625,0.2568737873266764,0.08767207736807632,4,448,0.1331174000000015,success
adult,logistic_regression,baseline,71,0.8483033932135728,[0.24369114],0.16470645439078307,0.06604550042705182,0.08689065609510783,0.03586827237585488,0.16470645439078307,0.06604550042705182,0.20244933482531394,0.0882629107981221,0.08909646374435107,4,420,0.14973999999999954,success
adult,xgboost,baseline,42,0.8622754491017964,[0.2510212],0.17813899529992286,0.06616541353383465,0.08810010265725435,0.053108380707867164,0.17813899529992286,0.06616541353383465,0.21167695473251028,0.17911428446274474,0.07865910821761457,4,414,1.5859481000000013,success
adult,xgboost,baseline,43,0.8728696453247351,[0.2130002],0.1535065922839178,0.02777777777777779,0.051362761115536226,0.06698990339216959,0.1535065922839178,0.06698990339216959,0.18892830494940635,0.16088105726872248,0.06373261073223802,4,395,1.1715374,success
adult,xgboost,baseline,44,0.8693382465837556,[0.2729103],0.18149975137387367,0.1197238304825411,0.09445230451107361,0.03923611111111114,0.18149975137387367,0.1197238304825411,0.23964108055356007,0.23673135375263038,0.07850119791711038,4,418,1.1843411999999987,success
adult,xgboost,baseline,45,0.8633502226316597,[0.2748167],0.19042150377991449,0.11077140698590282,0.09929920506843586,0.12250937468328771,0.19042150377991449,0.12250937468328771,0.23806288282575103,0.2847273300409793,0.08387174036705487,4,412,1.2182772000000028,success
adult,xgboost,baseline,46,0.8696453247351451,[0.26654293],0.1770208152920726,0.10548594595457372,0.10200494354354243,0.08211805555555551,0.1770208152920726,0.10548594595457372,0.21477270764855888,0.1180547188072093,0.06175399140223261,4,455,1.2382577999999995,success
adult,xgboost,baseline,47,0.8671886995240289,[0.27338004],0.18372032607243086,0.10659323224768247,0.09806621580738449,0.05223910080398242,0.18372032607243086,0.10659323224768247,0.2263952548524011,0.15142857142857147,0.08226230641010959,4,421,1.2069742000000012,success
adult,xgboost,baseline,48,0.8719484108705665,[0.27713708],0.18593140784993845,0.1292954622172927,0.08115633000759101,0.036537102848916536,0.18593140784993845,0.1292954622172927,0.224713169886997,0.2305562547193556,0.06555537529742592,4,397,1.0888439000000005,success
adult,xgboost,baseline,49,0.8608935974205435,[0.22235585],0.15270753289265848,0.044493586908447624,0.09930139466102345,0.13593179602294636,0.15270753289265848,0.13593179602294636,0.21754385964912282,0.3156351791530945,0.06169991549181085,4,399,1.145143700000002,success
adult,xgboost,baseline,50,0.8694917856594503,[0.26519338],0.17696146003030336,0.1089965826358279,0.06299621284413964,0.02248384781048096,0.17696146003030336,0.1089965826358279,0.2051844472674874,0.21666666666666662,0.06548281537798331,4,435,1.1507502999999986,success
adult,xgboost,baseline,51,0.8751727314601566,[0.26038011],0.18165319559360404,0.0824912064280594,0.09028311358008166,0.005354850540986611,0.18165319559360404,0.0824912064280594,0.22436623918878612,0.08813891463791446,0.0721623009758603,4,420,1.143949499999998,success
adult,xgboost,baseline,52,0.8682634730538922,[0.26806516],0.1833961850250201,0.10959753646122927,0.07847672985136411,0.056880520999326056,0.1833961850250201,0.10959753646122927,0.21176387978653682,0.1859981933152665,0.05909432077818741,4,440,1.0354354000000008,success
adult,xgboost,baseline,53,0.8731767234761246,[0.2584913],0.18028534842852473,0.08075412411626082,0.1038886534763193,0.07344725599737101,0.18028534842852473,0.08075412411626082,0.22453417696293343,0.1486482956771582,0.07677922077922078,4,416,1.1193357999999982,success
adult,xgboost,baseline,54,0.865806847842776,[0.28018615],0.17589706138122388,0.1482644219795064,0.08963870160072254,0.039408866995073955,0.17589706138122388,0.1482644219795064,0.20921984588808087,0.15896933958464243,0.07153959348845765,4,452,1.1340643999999998,success
adult,xgboost,baseline,55,0.8653462306156917,[0.22622964],0.16123765036583854,0.0451000101976895,0.09128862063049634,0.0797377787462773,0.16123765036583854,0.0797377787462773,0.1945958109324446,0.11568831836419968,0.07174129353233831,4,440,1.119479499999997,success
adult,xgboost,baseline,56,0.8635037617073545,[0.25038977],0.1745666931353025,0.07537237248318018,0.06150298295281503,0.02795123401724653,0.1745666931353025,0.07537237248318018,0.20931905769381462,0.10578995433789962,0.07431452367583755,4,438,1.0724298000000019,success
adult,xgboost,baseline,57,0.8705665591893137,[0.24957864],0.180297942630036,0.05238765467455042,0.0963074274722533,0.04769966875230036,0.180297942630036,0.05238765467455042,0.21431191019276352,0.10372881355932206,0.07061050197657939,4,435,1.166917600000005,success
adult,xgboost,baseline,58,0.8679563949025026,[0.25369677],0.17287921202650802,0.07851458885941642,0.059735457181277596,0.026666666666666727,0.17287921202650802,0.07851458885941642,0.19404899415521787,0.09273918642527079,0.059663819471369436,4,417,1.045969999999997,success
adult,xgboost,baseline,59,0.8595117457392907,[0.26310592],0.1755734249520477,0.0913677789087195,0.07692571075748644,0.040735351855701096,0.1755734249520477,0.0913677789087195,0.22030161421305333,0.20602420602420607,0.07396772049907684,4,444,0.931516699999996,success
adult,xgboost,baseline,60,0.8687240902809765,[0.23905127],0.17573390639179162,0.03699340962864428,0.07696590994986016,0.03531853042758937,0.17573390639179162,0.03699340962864428,0.2141907671135762,0.1062106735026801,0.07398006371390402,4,398,0.8454953999999972,success
adult,xgboost,baseline,61,0.8697988638108398,[0.23878962],0.17601277106633378,0.04128959276018107,0.07434834725398173,0.003608224365951429,0.17601277106633378,0.04128959276018107,0.19864159617044558,0.12121212121212122,0.060418928683596176,4,423,0.8610443000000032,success
adult,xgboost,baseline,62,0.8639643789344388,[0.26173034],0.18152635215475016,0.08852486142136173,0.08857862321041732,0.13934659090909096,0.18152635215475016,0.13934659090909096,0.21340662142548938,0.17304625199362045,0.07034511306835407,4,424,0.8730924000000044,success
adult,xgboost,baseline,63,0.8707200982650084,[0.27616888],0.17614870789293285,0.12656541672266775,0.05289610176691087,0.04205428928814192,0.17614870789293285,0.12656541672266775,0.1928804064248888,0.18139033238552804,0.07009819197141948,4,419,0.8534669999999949,success
adult,xgboost,baseline,64,0.8699524028865346,[0.25043896],0.17161713649643778,0.08251882371803598,0.08104337940283185,0.09126492503815431,0.17161713649643778,0.09126492503815431,0.21628846712378935,0.17663323393873676,0.06896668391513752,4,419,0.8439962000000065,success
adult,xgboost,baseline,65,0.8645785352372178,[0.24881504],0.16811040003297756,0.08746331236897276,0.09324418747359996,0.039030016597743855,0.16811040003297756,0.08746331236897276,0.2161277695518875,0.1007872846108141,0.06548990759576337,4,426,0.8970427000000001,success
adult,xgboost,baseline,66,0.8679563949025026,[0.23965337],0.17213353303945972,0.04799336215555261,0.07478632478632477,0.05427881512937405,0.17213353303945972,0.05427881512937405,0.21715633503044432,0.2142857142857143,0.06686060731622397,4,421,0.8563675999999987,success
adult,xgboost,baseline,67,0.8659603869184708,[0.23836055],0.16987889622242064,0.054818015187221736,0.08260934665945233,0.06582600060047583,0.16987889622242064,0.06582600060047583,0.22013117639130136,0.2068646864686468,0.07102882800806924,4,406,0.9220632999999978,success
adult,xgboost,baseline,68,0.8665745432212498,[0.25599677],0.1787852833794643,0.07184302947014809,0.0776628561059699,0.013882007400761509,0.1787852833794643,0.07184302947014809,0.2178727365779921,0.07382469736757835,0.07878897365702718,4,443,0.8573888999999966,success
adult,xgboost,baseline,69,0.8710271764163979,[0.23853674],0.16694194197921214,0.06857758996796426,0.08553365110742159,0.005330354455819197,0.16694194197921214,0.06857758996796426,0.20314088288696702,0.08084206478900324,0.06817227184901012,4,446,0.8736959000000013,success
adult,xgboost,baseline,70,0.8668816213726394,[0.28862639],0.18421936120047808,0.15110807824787165,0.10408736800935599,0.07344139718042786,0.18421936120047808,0.15110807824787165,0.22496498599439774,0.2749278311485496,0.06968502709020222,4,448,0.8669626000000008,success
adult,xgboost,baseline,71,0.8688776293566712,[0.23978922],0.17042810609585854,0.049258482801459724,0.08824321373578571,0.02022004162949753,0.17042810609585854,0.049258482801459724,0.20659579758796467,0.08920187793427226,0.0794793710286668,4,420,0.8472943000000015,success
