analysis_id,dataset,cross_label,intersectional,model,mitigation,seed,accuracy,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells,min_cell_n,runtime_seconds,status
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,42,0.7716,0.03653487600112887,0.040382067247820674,0.2279604757907035,0.1432786356282446,0.2279604757907035,0.1432786356282446,0.26474341864216544,0.20168351845395238,0.13592386650624871,4,1882,0.04702079999999853,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,43,0.7667,0.042772982270016524,0.031059883880807382,0.22187822514721256,0.15485613925974084,0.22187822514721256,0.15485613925974084,0.2637621387621388,0.19082466129982334,0.13993640136306895,4,1848,0.041651999999999134,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,44,0.7708,0.014524287434765193,0.03348496895683417,0.2182350168529833,0.14352523267724704,0.2182350168529833,0.14352523267724704,0.2519634665593051,0.22080826150593602,0.151514012303486,4,1824,0.04154250000000559,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,45,0.7822,0.03061676262509727,0.020444131555242606,0.2061907756232953,0.1251972380875147,0.2061907756232953,0.1251972380875147,0.23713454401177061,0.18433408045299038,0.13597309767513585,4,1945,0.04681420000000003,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,46,0.7705,0.02470511905242978,0.03700042032477491,0.2169792435395541,0.11663944328177911,0.2169792435395541,0.11663944328177911,0.24565442660629305,0.19591212792000756,0.1383401374091407,4,1903,0.04196829999999352,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,47,0.7661,0.01680702349146912,0.03972457835593257,0.2196142722852658,0.14273415736123785,0.2196142722852658,0.14273415736123785,0.2401154401154401,0.2023598037915949,0.1412279858186038,4,1890,0.04060599999999681,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,48,0.7675,0.011222922234062627,0.03492069113852503,0.2235790916509351,0.14379120708588222,0.2235790916509351,0.14379120708588222,0.24441752507454595,0.20768465163084004,0.14927874764363577,4,1792,0.0418236999999948,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,49,0.7764,0.024917205108361706,0.03638384257475624,0.21549018868082714,0.14145550614548297,0.21549018868082714,0.14145550614548297,0.24816482453930108,0.2099963470008499,0.1282955816168756,4,1841,0.041999500000002854,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,50,0.7776,0.001901704790677583,0.06052354596844767,0.2218083254025755,0.15835225472594783,0.2218083254025755,0.15835225472594783,0.23289768483943243,0.21338960291578746,0.1403007172028421,4,1820,0.04302470000000369,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,51,0.7679,0.03343733580461128,0.04271459225318108,0.20018610709995316,0.1175272867767796,0.20018610709995316,0.1175272867767796,0.23520152586262127,0.18742996593624484,0.11860935822541337,4,1842,0.04400739999999814,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,52,0.7666,0.021553801696111208,0.03445858741754326,0.2182900233441985,0.14134884723120011,0.2182900233441985,0.14134884723120011,0.24509227839392722,0.22446549762661339,0.14971972184856153,4,1870,0.0454410999999979,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,53,0.7626,0.03269837839506645,0.037391274798659335,0.22499389538705927,0.15880427895188043,0.22499389538705927,0.15880427895188043,0.25379954593437737,0.20585038416222756,0.1460098410824832,4,1869,0.04156160000000142,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,54,0.7739,0.011801212335169342,0.06167753877829796,0.2252800071913682,0.15300917243596224,0.2252800071913682,0.15300917243596224,0.25007314185919854,0.20914420147325385,0.15509952828315365,4,1854,0.04474409999999551,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,55,0.7683,0.02674981309966412,0.04180408833351401,0.2255966229443599,0.1352148596491488,0.2255966229443599,0.1352148596491488,0.25327054514201525,0.17011613848334806,0.1533655162243638,4,1824,0.03843479999999744,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,56,0.7693,0.011123721675151188,0.05630309094072794,0.2271114709761432,0.15603879754652672,0.2271114709761432,0.15603879754652672,0.23769575794938005,0.20535829646152537,0.15028197695815387,4,1888,0.03741839999999996,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,57,0.7702,0.02541005239237787,0.03266965728669302,0.21409645613911032,0.14332705771606757,0.21409645613911032,0.14332705771606757,0.24784844987141325,0.23096383147853727,0.1438510364995422,4,1829,0.03733350000000257,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,58,0.7721,0.03339603935501623,0.032012017065420784,0.21286693531114736,0.12982787499912396,0.21286693531114736,0.12982787499912396,0.2463740325551829,0.19737850186920203,0.1369857670539869,4,1891,0.038097700000001566,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,59,0.7652,0.00928949977063237,0.034941021926154225,0.21854988458303437,0.12082231232802387,0.21854988458303437,0.12082231232802387,0.25419663860782815,0.22571157565017907,0.15760084551699843,4,1857,0.03819520000000409,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,60,0.771,0.027742433005590927,0.0308671577159344,0.20692943934654812,0.1262665319045717,0.20692943934654812,0.1262665319045717,0.23576600236267606,0.1520889405845517,0.12575338481043047,4,1869,0.04067569999999421,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,61,0.7725,0.02373835656691653,0.03595207508223963,0.21038645824163382,0.12922103900688353,0.21038645824163382,0.12922103900688353,0.2366166210093514,0.19788135593220335,0.1342755086193508,4,1882,0.0391514000000015,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,62,0.7711,0.03551879699248123,0.02522453768303312,0.21815169761906678,0.1509200778315708,0.21815169761906678,0.1509200778315708,0.25194331814487503,0.19467058019973793,0.13362415751207343,4,1867,0.03872100000000245,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,63,0.7667,0.014169424668683706,0.03136183270817583,0.21256918520596424,0.12994082199689683,0.21256918520596424,0.12994082199689683,0.23899712979317145,0.21488266706138204,0.1482781984939714,4,1803,0.041119199999997136,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,64,0.7735,0.030463975462668047,0.04743543349195778,0.22136200882456736,0.14170968088023173,0.22136200882456736,0.14170968088023173,0.2598834306992809,0.2309550561797753,0.13209268538924662,4,1880,0.03867929999999831,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,65,0.7664,0.019435987033911972,0.04682475660948848,0.2214170515932044,0.1341968315697022,0.2214170515932044,0.1341968315697022,0.2455182109170361,0.17086377369812933,0.15747195448958412,4,1908,0.03851799999999628,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,66,0.7713,0.033533105091454685,0.03502262096012099,0.21839437013097374,0.13333886082610402,0.21839437013097374,0.13333886082610402,0.25212517785645744,0.18879781420765018,0.12580490937382022,4,1880,0.03977640000000093,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,67,0.7809,0.03023349881556936,0.04571733900617847,0.21496538031901663,0.11671536254617165,0.21496538031901663,0.11671536254617165,0.2487960446233377,0.19630947430032508,0.13986016624121322,4,1826,0.04200170000000014,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,68,0.7702,0.014064749814049538,0.05482843706678753,0.2383996827446872,0.15250968632372142,0.2383996827446872,0.15250968632372142,0.26827993877354683,0.22330153290418187,0.1629312974972918,4,1833,0.056186599999996645,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,69,0.7725,0.0221269686292907,0.05619735511287538,0.21294583658493038,0.13903086441760149,0.21294583658493038,0.13903086441760149,0.24098389994192096,0.21207084818704436,0.13098798044319288,4,1840,0.037534299999997245,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,70,0.7735,0.02007908137001746,0.05690428815955573,0.20751730716348354,0.1203755129205597,0.20751730716348354,0.1203755129205597,0.24485604619945187,0.20553003430830963,0.12806794637858415,4,1824,0.03747320000000087,success
acs_sex_age,acs_income,sex x age_group,False,logistic_regression,baseline,71,0.7648,0.012172592813212313,0.0372431138517203,0.21631097217665612,0.1519669649192562,0.21631097217665612,0.1519669649192562,0.23326759022228827,0.22814575960502814,0.14231301939058172,4,1886,0.044967399999997326,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,42,0.8162,0.09516754724452214,0.0007367372353673796,0.2231341939163901,0.11451808673127062,0.2231341939163901,0.11451808673127062,0.3130373801562052,0.15037505603426804,0.10459006563608028,4,1882,0.296493599999998,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,43,0.8179,0.10311279355740949,0.005288940649491591,0.21501735837517294,0.11328576847055061,0.21501735837517294,0.11328576847055061,0.30994793494793493,0.13294914588651086,0.11572230571781245,4,1848,0.30264289999999505,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,44,0.8093,0.07961059815335209,0.013441927254025043,0.21328651380431074,0.12934135517686207,0.21328651380431074,0.12934135517686207,0.29667141972670585,0.1934247922620016,0.08225341782771085,4,1824,0.34009070000000463,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,45,0.8166,0.0820045477843202,0.012373301262190162,0.20321791304846792,0.11257457974674745,0.20321791304846792,0.11257457974674745,0.28073549954950855,0.136734693877551,0.08690093485570706,4,1945,0.38110770000000116,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,46,0.8125,0.09069629683794744,0.016586548423190073,0.2149163548220579,0.08867409962300465,0.2149163548220579,0.08867409962300465,0.2997659049574127,0.11910285777881591,0.1027689204138739,4,1903,0.37613019999999864,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,47,0.8093,0.0634124236978309,0.010197685631629594,0.20648814899106127,0.11538029355994095,0.20648814899106127,0.11538029355994095,0.265909090909091,0.13026823986919445,0.07942802697816091,4,1890,0.2763241999999977,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,48,0.8154,0.06592485113628604,0.003781285563305481,0.2200240371516557,0.10398381349456787,0.2200240371516557,0.10398381349456787,0.2891962732673715,0.12997506271048864,0.10633187818684417,4,1792,0.27425110000000075,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,49,0.8177,0.08619618010993091,0.01476355589801337,0.21266856982364357,0.1089466866998633,0.21266856982364357,0.1089466866998633,0.29900213688246907,0.1466404710665432,0.09921160357308298,4,1841,0.27098769999999917,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,50,0.8158,0.06682427502723143,0.0006356583646727199,0.21643074842106585,0.1279918201979665,0.21643074842106585,0.1279918201979665,0.28355359237712174,0.17067404748202752,0.08514380721400351,4,1820,0.27579529999999863,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,51,0.8214,0.0879592084793473,0.004650675888211442,0.19859337910732122,0.09533587440281144,0.19859337910732122,0.09533587440281144,0.2822188607746621,0.1421932991001067,0.0787133740248175,4,1842,0.2820464000000058,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,52,0.8168,0.07709125656568089,0.005181910972229531,0.2043223129529418,0.09833909160481169,0.2043223129529418,0.09833909160481169,0.2769777621201596,0.1478482601702561,0.08575471290705267,4,1870,0.2781811999999988,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,53,0.803,0.09256757973598434,0.010325354383430074,0.20803984232656864,0.10747116925714717,0.20803984232656864,0.10747116925714717,0.29366766445418124,0.15972187650387482,0.09349498054114819,4,1869,0.2732420999999974,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,54,0.8146,0.07384894351930227,0.021294160735674028,0.21073593456928263,0.10806391211715594,0.21073593456928263,0.10806391211715594,0.28430933758892246,0.14995564811600903,0.10507310212542344,4,1854,0.27765809999999647,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,55,0.8132,0.08082296315787002,0.002713930004322185,0.22262828493697367,0.11372370506674656,0.22262828493697367,0.11372370506674656,0.30038556246759973,0.1309202424931325,0.10907768462680284,4,1824,0.2821762000000021,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,56,0.8162,0.07683024608662758,0.008212288624895203,0.21181154944155994,0.11752559785916061,0.21181154944155994,0.11752559785916061,0.28069652656143346,0.12372105942519163,0.08257223260981762,4,1888,0.2791807999999989,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,57,0.816,0.07399678280093003,0.01156166766185307,0.2066226443895558,0.10547802553391772,0.2066226443895558,0.10547802553391772,0.286232104165401,0.17322337042925273,0.08465175486452083,4,1829,0.2961348999999984,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,58,0.8098,0.0828254434304625,0.006806865763241965,0.20122760149652458,0.08393254699680652,0.20122760149652458,0.08393254699680652,0.2797008908723411,0.1140665528222643,0.10797004414025692,4,1891,0.274546100000002,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,59,0.8122,0.06836877564079946,0.010631659533262727,0.21387072762402287,0.09126421830794873,0.21387072762402287,0.09126421830794873,0.2795216204448853,0.14886103778648685,0.10333431314912797,4,1857,0.2782436999999973,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,60,0.8174,0.08459931880984511,0.009597691022601218,0.1961688013763379,0.06836814146122383,0.1961688013763379,0.06836814146122383,0.2774195908756205,0.0843358867890871,0.09272018983085259,4,1869,0.2827087000000006,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,61,0.8171,0.07762476032195514,0.001201280313211095,0.20898885353656033,0.11006883567688419,0.20898885353656033,0.11006883567688419,0.2799719670088373,0.12118644067796613,0.09738472159861727,4,1882,0.2741881000000035,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,62,0.8186,0.09257142857142858,0.012551725196729757,0.20262149521425177,0.09884968564510221,0.20262149521425177,0.09884968564510221,0.2890760166970587,0.11883763344819376,0.09501282254491955,4,1867,0.27463640000000566,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,63,0.8088,0.05619804963854014,0.015484987972311015,0.2130358144703623,0.11704795583300254,0.2130358144703623,0.11704795583300254,0.27365609333877916,0.17087380114695183,0.08761298955013648,4,1803,0.2780467999999985,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,64,0.8153,0.0783282531851992,0.01703955567028015,0.21290641525555953,0.11505835230727057,0.21290641525555953,0.11505835230727057,0.29237543679758227,0.1657397003745319,0.08973165152736992,4,1880,0.2770526999999987,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,65,0.8159,0.08812071395239496,0.001567170941633389,0.2041128421931679,0.09465251064988989,0.2041128421931679,0.09465251064988989,0.2926507640913969,0.12238129082478766,0.09555511890293454,4,1908,0.2804780999999963,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,66,0.8118,0.07890263074494086,0.00707569457569468,0.20729368186531405,0.09532988389541774,0.20729368186531405,0.09532988389541774,0.28231445021673673,0.12411756018313391,0.08396534101105622,4,1880,0.2755907000000022,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,67,0.8189,0.08108468784255646,0.0068281380109337375,0.20295615242408116,0.08511945950651134,0.20295615242408116,0.08511945950651134,0.2811921419615418,0.13668499607227025,0.09792819734189617,4,1826,0.2826445999999976,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,68,0.813,0.07542190152023859,0.014606780770621053,0.21693202858513244,0.08856317626511512,0.21693202858513244,0.08856317626511512,0.2903447169950595,0.10962657651399377,0.12442467465627527,4,1833,0.2789623999999975,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,69,0.8107,0.07551284040643907,0.009831376452669072,0.20723807173775377,0.09983078828264103,0.20723807173775377,0.09983078828264103,0.2802875589232411,0.1231171917654238,0.09405264104922229,4,1840,0.2754473000000033,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,70,0.816,0.07252131232831677,0.0017389965952406827,0.19316845471932248,0.08921829852152341,0.19316845471932248,0.08921829852152341,0.26702358923132347,0.12246903529685405,0.07207456461334331,4,1824,0.2714689999999962,success
acs_sex_age,acs_income,sex x age_group,False,xgboost,baseline,71,0.8068,0.06533833538409389,0.0005579272365809906,0.21282523319678698,0.10418321529804253,0.21282523319678698,0.10418321529804253,0.277226766452101,0.16540450498063275,0.11339207961849472,4,1886,0.2865178000000057,success
